record_type,source_id,name,category,phase,depends_on,status_or_priority,summary,evidence_or_owner,source_lineage,active_disposition,canonical_task_refs
risk,ARCH-W8-R02,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,critical,,Eligibility predicate excludes raw/unreviewed state.,capex_v6,reference,
risk,ARCH-W8-R03,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Typed packet edges + completeness evaluation.,capex_v6,reference,
risk,ARCH-W8-R04,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,critical,,Only ArtifactPointerPromotion mutates pointers.,capex_v6,reference,
risk,ARCH-W8-R05,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Copy minimal corpus/dossier patterns; reject generic EDMS.,capex_v6,reference,
risk,ARCH-W8-R06,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Hold/freeze checks in promotion/closure paths.,capex_v6,reference,
risk,ARCH-W8-R07,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,critical,,Separate ExternalOfficialRecordRef and OfficialPointer.,capex_v6,reference,
risk,ARCH-W8-R08,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,critical,,Read-only observation ledger; no AP/GL/procurement writeback.,capex_v6,reference,
risk,ARCH-W8-R09,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,ExternalObjectPointer supports parent/child identity.,capex_v6,reference,
risk,ARCH-W8-R10,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,critical,,Closure vector tests and policy gates.,capex_v6,reference,
risk,ARCH-W8-R11,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Append sync observation and flag; retain pointer events.,capex_v6,reference,
risk,ARCH-W8-R12,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,SnapshotBuildRun records policy version/input watermark/entity versions.,capex_v6,reference,
risk,ARCH-W8-R13,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,medium,,Predicate id + source refs + owner + status + policy version.,capex_v6,reference,
risk,ARCH-W8-R14,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Leak scan and sanitized audit export manifests.,capex_v6,reference,
risk,ARCH-W8-R15,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,high,,Binding/capability/auth-before-read checks.,capex_v6,reference,
risk,ARCH-W8-R16,,architecture_sync/W8,P12/P13 Snapshots and external boundary,,medium,,"Expose freshness, staleness reasons, build lag.",capex_v6,reference,
risk,FINAL-RISK-001,,formalism regression,all,,critical,,Require explicit ArtifactPointerPromotion and negative latest-file-not-official tests.,capex_v6,reference,
risk,FINAL-RISK-002,,evidence governance,P6-P13,,critical,,Maintain retrieval_candidate/evidence_binding separation and enforce evidence-binding review gates.,capex_v6,reference,
risk,FINAL-RISK-003,,testing/generalization,all,,high,,Preserve validation project as blind holdout and record blind baseline before tuning.,capex_v6,reference,
risk,NU-RISK-001,,approval semantics,P1-P2,,critical,,Extract domain hooks and add approval-neutrality tests before CAPEX approval reuse.,capex_v6,reference,
risk,NU-RISK-002,,security,P1-P2,,critical,,Authorize before read; add spy tests and security review gate.,capex_v6,reference,
risk,NU-RISK-003,,project scoping,P3,,critical,,Add capex_project/project_membership and route helpers before CAPEX corpus ingest.,capex_v6,reference,
risk,NU-RISK-004,,evidence integrity,P4-P5,,critical,,Physical source_occurrence and resolver; negative tests for empty/unresolved refs.,capex_v6,reference,
risk,NU-RISK-005,,closure safety,P7,,critical,,"ClosureGateEvaluation, ClosureSnapshot, waiver scope, no-false-closure tests.",capex_v6,reference,
risk,NU-RISK-006,,lifecycle/staleness,P7-P10,,high,,Add recurrence trigger registry and time-driven stale/reopen tasks.,capex_v6,reference,
risk,NU-RISK-007,,workflow handoff,P6-P8,,high,,"Handoff manifest binds artifact versions, pointer generations, validation summaries, and stale basis.",capex_v6,reference,
risk,NU-RISK-008,,testing,P0-P2,,critical,,"Add semantic test suite, CODEOWNERS, PR template gates before CAPEX source-of-truth PRs.",capex_v6,reference,
risk,NU-RISK-009,,product/workflow,P8-P9,,medium,,Define task-chain instantiation with evidence-bound escalation and CEO decision capture.,capex_v6,reference,
risk,V5-RISK-001,Representation mistaken for reality,,,,critical,,Add reality-vs-representation guardrails and evidence gates.,v5_carried_forward,historical_reference,TASK-0447;TASK-0565;TASK-0305
risk,V5-RISK-002,Logistics side effects leak into CAPEX approvals,,,,critical,,Approval neutrality gate and hook registry.,v5_carried_forward,historical_reference,TASK-0257;TASK-0561
risk,V5-RISK-003,Unauthorized blob read,,,,critical,,Auth-before-read route hardening and spy tests.,v5_carried_forward,historical_reference,TASK-0235;TASK-0562
risk,V5-RISK-004,Replacement measure false equivalence,,,,high,,Feasibility-set and replacement-equivalence evidence gate.,v5_carried_forward,historical_reference,TASK-0565
risk,V5-RISK-005,Premature RCA closure,,,,high,,Issue/hypothesis graph guard and tests.,v5_carried_forward,historical_reference,TASK-0305;TASK-0565
risk,V5-RISK-006,Workflow handoff information loss,,,,high,,Workflow handoff manifest.,v5_carried_forward,historical_reference,TASK-0566
risk,V5-RISK-007,Horizontal platform batch without product proof,,,,high,,Product Goal + metric stack and vertical-slice ladder.,v5_carried_forward,historical_reference,TASK-0582;TASK-0583;TASK-0584
risk,V5-RISK-008,Engine/platform overbuild,,,,medium,,Formalism division-of-labor table and overkill guard.,v5_carried_forward,historical_reference,
risk,SD-RISK-001,,product goal,P0-P1,,high,,Add Product Goal/metric gate before implementation sequencing.,capex_v6,reference,
risk,SD-RISK-002,,delivery slicing,P0-P3,,high,,Approve vertical-slice ladder and system-demo criteria.,capex_v6,reference,
risk,SD-RISK-003,,dependencies,P0-P10,,high,,"Add dependency register with owner, needed-by, mitigation, and risk-if-late.",capex_v6,reference,
risk,SD-RISK-004,,learning vs value,P0-P6,,medium,,"Classify each early slice as MVP-learning, MMF-value, enabler, or risk spike.",capex_v6,reference,
risk,SD-RISK-005,,governance overkill,All,,medium,,Use lightweight registers first; adopt heavier tooling only after explicit trigger.,capex_v6,reference,
risk,SD-RISK-006,,forecasting,P1-P10,,medium,,"Use timeboxed spikes, forecast ranges, and actual throughput after first slices.",capex_v6,reference,
risk,TP-R001,K12 overfitting,testing/generalization/data-governance,P14A/P15,,high,,K3 mini regression + blind holdout gates.,capex_v6,reference,
risk,TP-R002,K3 over-expansion,testing/generalization/data-governance,P14A/P15,,medium,,Keep K3 as mini/shadow until module activation.,capex_v6,reference,
risk,TP-R003,Blind contamination,testing/generalization/data-governance,P14A/P15,,high,,"Freeze protocol, access control, baseline manifest.",capex_v6,reference,
risk,TP-R004,Full-corpus CI flakiness,testing/generalization/data-governance,P14A/P15,,medium,,Use micro/slice/full-off-repo tiering.,capex_v6,reference,
risk,TP-R005,Raw-data leakage,testing/generalization/data-governance,P14A/P15,,critical,,"Quarantine, leak scan, no raw data in artifacts.",capex_v6,reference,
risk,TP-R006,Agent false closure,testing/generalization/data-governance,P14A/P15,,critical,,Zero critical false closures; negative tests.,capex_v6,reference,
risk,TP-R007,Fixture manifest drift,testing/generalization/data-governance,P14A/P15,,medium,,Version manifests and rerun compiler after schema/policy changes.,capex_v6,reference,
risk,TP-R008,Shadow failures ignored,testing/generalization/data-governance,P14A/P15,,high,,Tie release/pilot gates to cross-project invariant scorecard.,capex_v6,reference,
risk,TP-R009,Project-specific hacks,testing/generalization/data-governance,P14A/P15,,high,,No-overfitting review and static check for project-name exceptions.,capex_v6,reference,
risk,TP-R010,Validation project too late,testing/generalization/data-governance,P14A/P15,,medium,,Plan blind freeze/baseline before pilot claim.,capex_v6,reference,
risk,PROD-R001,Premature CAPEX activation,activation governance,P15,,critical,,Make PROD-PRE-G01 and PROD-PRE-G10 hard gates; require explicit waiver with residual-risk owner.,capex_v6,reference,
risk,PROD-R002,Cross-project validation ignored,testing/generalization,P14A/P15,,high,,Tie production readiness to TP-G11 cross-project invariant scorecard.,capex_v6,reference,
risk,PROD-R003,Raw corpus leakage,data governance,P14A/P15,,critical,,"Quarantine, off-repo mount runbook, leak scan, and no raw data gates.",capex_v6,reference,
risk,PROD-R004,Capacity optimism,capacity,P15,,high,,Require full off-repo run and restore rehearsal evidence before pilot.,capex_v6,reference,
risk,PROD-R005,Agent authority leakage,AI agent governance,P10/P14A,,high,,"Maintain Lab non-authority gate, ToolProposal path, zero critical false closure criterion.",capex_v6,reference,
risk,PROD-R006,Deployment/activation collapse,release/rollback,P15,,high,,Use release/migration/activation manifests and feature gates.,capex_v6,reference,
decision,OD-001,,,,,open before implementation MR,,,capex_v6,reference,
decision,OD-002,,,,,open until deployment roadmap and pilot environment selected,,,capex_v6,reference,
decision,OD-003,,,,,open before search activation,,,capex_v6,reference,
decision,OD-004,,,,,open until raw K12 quarantine review,,,capex_v6,reference,
decision,OD-005,,,,,open until validation project selected,,,capex_v6,reference,
decision,OD-006,,,,,open until production roadmap provided,,,capex_v6,reference,
decision,OD-007,,,,,open until repo lab fit-gap implementation review,,,capex_v6,reference,
decision,OD-008,,,,,open until K3 B2 full fixture review,,,capex_v6,reference,
decision,NU-OD-001,,,,,open before corpus implementation,,,capex_v6,reference,
decision,NU-OD-002,,,,,open before CAPEX approval reuse,,,capex_v6,reference,
decision,NU-OD-003,,,,,open before procurement task implementation,,,capex_v6,reference,
decision,NU-OD-004,,,,,open before lifecycle recurrence implementation,,,capex_v6,reference,
decision,NU-OD-005,,,,,open before linked workflow family implementation,,,capex_v6,reference,
decision,V5-OD-001,,,,,open,,,v5_carried_forward,historical_reference,
decision,V5-OD-002,,,,,open,,,v5_carried_forward,historical_reference,
decision,V5-OD-003,,,,,open,,,v5_carried_forward,historical_reference,
decision,V5-OD-004,,,,,open,,,v5_carried_forward,historical_reference,
decision,V5-OD-005,,,,,open,,,v5_carried_forward,historical_reference,
decision,V5-OD-006,,,,,open before implementation freeze,,,v5_carried_forward,historical_reference,
decision,V6-OD-001,,,,,open before full-project Codex run,,,capex_v6,reference,
decision,V6-OD-002,,,,,open before robustness claim,,,capex_v6,reference,
decision,V6-OD-003,,,,,open before blind run,,,capex_v6,reference,
decision,V6-OD-004,,,,,open before controlled pilot,,,capex_v6,reference,
